id	name	type	P1853	P21	born	died	P2031	url	description
394051	Rigu	Q5						https://anilist.co/staff/394051	Artist.
394052	Ida	Q5						https://anilist.co/staff/394052	Artist.
394053	Elise	Q5						https://anilist.co/staff/394053	Artist.
394054	May	Q5						https://anilist.co/staff/394054	Artist.
394055	Chiri	Q5						https://anilist.co/staff/394055	Artist.
394056	Shin	Q5						https://anilist.co/staff/394056	Artist.
394057	Ruru	Q5						https://anilist.co/staff/394057	Artist.
394058	Yuri	Q5						https://anilist.co/staff/394058	Artist.
394059	Roko Hinata	Q5						https://anilist.co/staff/394059	日向ろこ. Illustrator.
394060	Hyeon Yeong	Q5						https://anilist.co/staff/394060	영현. Writer.
394061	Son	Q5						https://anilist.co/staff/394061	손. Artist.
394062	U-Ji	Q5						https://anilist.co/staff/394062	우지. Artist.
394063	Kei	Q5						https://anilist.co/staff/394063	Artist.
394064	Kiki	Q5						https://anilist.co/staff/394064	키키. Artist.
394065	Min-Hal	Q5						https://anilist.co/staff/394065	민할. Artist.
394066	Ren	Q5						https://anilist.co/staff/394066	Artist.
394067	Nix	Q5						https://anilist.co/staff/394067	Artist.
394068	Rosa	Q5						https://anilist.co/staff/394068	Artist.
394069	Jesse	Q5						https://anilist.co/staff/394069	Artist.
394070	Anzu Yuuwa	Q5						https://anilist.co/staff/394070	柚和杏. Mangaka.
394071	Won	Q5						https://anilist.co/staff/394071	원. Artist.
394072	Gem	Q5						https://anilist.co/staff/394072	Artist.
394073	Yura	Q5						https://anilist.co/staff/394073	Artist.
394074	Umi	Q5						https://anilist.co/staff/394074	Artist.
394075	Sohwagi	Q5						https://anilist.co/staff/394075	소화기. Artist.
394076	Kari	Q5						https://anilist.co/staff/394076	Artist.
394085	Ryou Moriguchi	Q5						https://anilist.co/staff/394085	守口リョウ. Mangaka.
394086	Tajigen Seigyo Kikou Yodaka	Q5		Q6581097	1994-03-09		2020	https://anilist.co/staff/394086	多次元制御機構よだか. Musician. From Fukuoka Prefecture, Japan.
394087	Lucky Kilimanjaro	Q215380					2014	https://anilist.co/staff/394087	Band.
394090	Omochichi	Q5						https://anilist.co/staff/394090	おもちち. Mangaka.
394107	Nazuna Natsuki	Q5						https://anilist.co/staff/394107	菜月なずな. Mangaka.
394108	Momiji Isa	Q5						https://anilist.co/staff/394108	伊佐椛. Writer.
394109	Sukeroku Sukehachi	Q5						https://anilist.co/staff/394109	助八助六. Mangaka.
