ID	name	type	URL	description
114915	Aisu	Q64100970	https://anilist.co/anime/114915	愛す. 2019 anime. Directed by AC-Bu
114919	Megumi to Taiyou II: Kajuu Gummi Tweet Mystery - Kieta Sapphire Roman no Nazo	Q1107	https://anilist.co/anime/114919	メグミとタイヨウII 果汁グミ Tweet Mystery 消えたサファイアロマンの謎. 2012 anime by MADHOUSE and MAPPA. Directed by Rintarou
114922	Bang!Bang!Bang!	Q64100970	https://anilist.co/anime/114922	2019 anime by ufotable. Directed by Koujirou Shishido
114924	MyakuMyaku –Drops of Life–	Q20650540	https://anilist.co/anime/114924	みゃくみゃく ―Drops of Life―. 2013 anime. Directed by Yuka Imabayashi
114926	Kandagawa Jet Girls OVA	Q220898	https://anilist.co/anime/114926	神田川 JET GIRLS OVA. 2020 anime by TNK
114942	Soumatou	Q64100970	https://anilist.co/anime/114942	走馬燈. 1977 anime. Directed by Sadao Tsukioka
114943	Battle Spirits: Kakumei no Gallet	Q113671041	https://anilist.co/anime/114943	バトルスピリッツ 赫盟のガレット. 2020 anime by Bandai Namco Pictures. Directed by Masaki Watanabe
114945	Rebecca	Q20650540	https://anilist.co/anime/114945	レベッカ. 2020 anime by Vega Entertainment. Directed by Yukiyo Teramoto
114946	Michiru Rescue!	Q20650540	https://anilist.co/anime/114946	みちるレスキュー！. 2020 anime by Yumeta Company. Directed by Koujin Ochi
114947	Fukai ni Nemuru Oujo no Abaddon THE ANIMATION	Q220898	https://anilist.co/anime/114947	腐界に眠る王女のアバドーン THE ANIMATION. 2020 anime by SAKURAPRIN Animation
114948	Ometeotl≠HERO	Q20650540	https://anilist.co/anime/114948	オメテオトル≠HERO. 2020 anime by Speed. Directed by Jun Awazu
114949	Niplheim's Hunter	Q113687694	https://anilist.co/anime/114949	ニプルへイムの狩人. 2020 anime by Bomb! Cute! Bomb!
114958	Crescent rise	Q64100970	https://anilist.co/anime/114958	Crescent rise. 2020 anime by Trigger. Directed by Masato Matsune
114959	Yaojing Zhongzhi Shouce	Q1047299	https://anilist.co/anime/114959	妖精种植手册. 2020 anime by Big Firebird Cultural Media
114961	Itsumo Kokoro ni Taiyou wo!	Q63952888	https://anilist.co/anime/114961	いつも心に太陽を!. 1999 anime. Directed by Hiroyoshi Yoshida
114963	A Whisker Away	Q20650540	https://anilist.co/anime/114963	泣きたい私は猫をかぶる. 2020 anime by Studio Colorido. Directed by Tomotaka Shibayama
114979	Love Live! Superstar!!	Q100269041	https://anilist.co/anime/114979	ラブライブ!スーパースター!!. 2021 anime by Sunrise. Directed by Takahiko Kyougoku
114981	ROOM CAMP: Saunas and Grub and Three-Wheeler Bikes	Q220898	https://anilist.co/anime/114981	へやキャン△「サウナとごはんと三輪バイク」. 2020 anime by C-Station
114987	Re-raise	Q64100970	https://anilist.co/anime/114987	Re-raise. 2020 anime by TROYCA
114989	Tales of the Abyss: Skit-fuu Jikan Yokoku "Score"	Q1107	https://anilist.co/anime/114989	テイルズ オブ ジ アビス スキット風次巻予告「預言[スコア]. 2009 anime by Sunrise
115003	Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World	Q1107	https://anilist.co/anime/115003	メグミとタイヨウIII 果汁グミ Tweet Fantasy タイムラインワールド. 2012 anime. Directed by Hideki Futamura
115006	Top wo Nerae 3! (Provisional Title)	Q220898	https://anilist.co/anime/115006	トップをねらえ3！（仮）. anime by Gaina
115007	Kekkero Kee	Q63952888	https://anilist.co/anime/115007	ケッケロケー. 2018 anime by Kachidoki Studio
115011	Break Ups	Q1047299	https://anilist.co/anime/115011	절연주의사항. 2011 anime by Studio Goindol. Directed by Sung-Dae Kim
115036	Heart Forecast	Q64100970	https://anilist.co/anime/115036	心予報. 2020 anime by ENISHIYA. Directed by Nobutaka Yoda
115039	Hana	Q1047299	https://anilist.co/anime/115039	はな. 2006 anime. Directed by Kenji Kawasaki
115040	Serenade	Q20650540	https://anilist.co/anime/115040	小夜曲. 1985 anime. Directed by Kouji Yamamura
115045	Shining☆Romance	Q64100970	https://anilist.co/anime/115045	Shining☆Romance. 2017 anime by Studio Anima. Directed by Takahiko Kyougoku
115052	FORCE LIVE	Q64100970	https://anilist.co/anime/115052	FORCE LIVE. 2017 anime by Studio Anima. Directed by Takahiko Kyougoku
115066	Star Night Snow	Q64100970	https://anilist.co/anime/115066	スターナイトスノウ. 2017 anime
115069	D4DJ First Mix	Q100269041	https://anilist.co/anime/115069	D4DJ First Mix. 2020 anime by SANZIGEN. Directed by Seiji Mizushima
115077	Suketto Sanjou!! THE ANIMATION	Q113687694	https://anilist.co/anime/115077	助っ人参上！！ THE ANIMATION. 2020 anime by Seven. Directed by Hideki Araki
115082	Kouya no Kotobuki Hikoutai: Kanzenban	Q20650540	https://anilist.co/anime/115082	荒野のコトブキ飛行隊 完全版. 2020 anime by GEMBA. Directed by Tsutomu Mizushima
