ID	name	type	URL	P4087	description
32538	Nereid Jeonseol	Q74262765	https://anilist.co/manga/32538	2538	네레이드의 전설. 2003 manhwa by Mi-Ri Hwang
32541	Family Border	Q21198342	https://anilist.co/manga/32541	2541	Family Border. 2000 manga by Toui Hasumi
32542	Genyou no Meizu	Q21198342	https://anilist.co/manga/32542	2542	幻妖の迷図. 2003 manga by Toui Hasumi
32543	Kyouten Yuuhouki	Q21198342	https://anilist.co/manga/32543	2543	虚天遊方記. 2005 manga by Toui Hasumi
32544	Shiniden	Q21198342	https://anilist.co/manga/32544	2544	神異伝. 1999 manga by Toui Hasumi
32545	Yuigon	Q21198342	https://anilist.co/manga/32545	2545	遺言. 2003 manga by Eiki Eiki
32546	Prime Minister at the End of the Century	Q21198342	https://anilist.co/manga/32546	2546	世紀末プライムミニスター. 1998 manga by Eiki Eiki
32547	Sarou no Ryoshuu	Q21198342	https://anilist.co/manga/32547	2547	砂牢の虜囚. 2007 manga by Ryou Sakura
32548	Doctor's Rule	Q21198342	https://anilist.co/manga/32548	2548	ドクターズルール. 2004 manga by Ryou Sakura
32549	Donut Tsuushin	Q21198342	https://anilist.co/manga/32549	2549	ドーナツ通信. manga by Mako Takahashi
32550	Devil x Devil	Q21198342	https://anilist.co/manga/32550	2550	デビル×デビル. 2003 manga by Sachiyo Sawauchi
32552	Ebisu	Q21198342	https://anilist.co/manga/32552	2552	Ebisu―多聞くんの悩める日常. 2001 manga by Sakufu Ajimine
32553	Hanjuku Orange	Q21198342	https://anilist.co/manga/32553	2553	半熟オレンジ. 2005 manga by Sakufu Ajimine
32554	Oki ni Mesu Mama	Q21198342	https://anilist.co/manga/32554	2554	お気に召すまま. 2002 manga by Sakufu Ajimine
32555	Wagamama Romeo	Q21198342	https://anilist.co/manga/32555	2555	わがままロメオ. 2005 manga by Sakufu Ajimine
32556	COWA!	Q21198342	https://anilist.co/manga/32556	2556	こわ!. 1997 manga by Akira Toriyama
32558	Itadakimasu	Q21198342	https://anilist.co/manga/32558	2558	いただきます. 2003 manga by Yuki Yoshihara
32559	Tales of Eternia	Q21198342	https://anilist.co/manga/32559	2559	テイルズ オブ エターニア. 2001 manga. Story & Art: Yoko Koike, Character Design: Mutsumi Inomata, Original Creator: Bandai-Namco Entertainment
32560	Yume Chu	Q21198342	https://anilist.co/manga/32560	2560	夢Chu↑. 2000 manga by Kazumi Ooya
32561	The Legend of Zelda: Four Swords	Q21198342	https://anilist.co/manga/32561	2561	ゼルダの伝説　4つの剣+. 2004 manga by Akira Himekawa
32562	Zelda no Densetsu: Kamigami no Triforce	Q21198342	https://anilist.co/manga/32562	2562	ゼルダの伝説 神々のトライフォース. 1994 manga by Ataru Kajiba
